CustomerID,recency,frequency,monetary,r_score,f_score,m_score,total_clv,churn_status,avg_days_between_purchases,lifespan_days,churn_event
12346,325,17,-64.68,4,1,5,-64.68,"High Risk",8.5106,400,1
12347,2,8,5633.32,1,2,1,5633.32,Active,1.5952,402,1
12348,75,5,2019.40,3,3,2,2019.40,"Low Risk",7.2600,363,1
12349,18,5,4404.54,1,2,1,4404.54,Active,4.0056,717,1
12350,310,1,334.40,4,4,4,334.40,"High Risk",0.0000,0,1
12351,375,1,300.93,4,4,4,300.93,"High Risk",0.0000,0,1
12352,36,13,1889.21,2,1,2,1889.21,"Low Risk",3.1786,356,1
12353,204,2,406.76,4,4,4,406.76,"High Risk",8.8696,204,1
12354,232,1,1079.40,4,5,3,1079.40,"High Risk",0.0000,0,1
12355,214,2,947.61,4,4,3,947.61,"High Risk",10.3824,353,1
12356,22,6,6373.68,2,2,1,6373.68,Active,2.8310,402,1
12357,33,3,18287.66,2,3,1,18287.66,"Low Risk",1.2034,355,1
12358,1,5,3887.07,1,2,1,3887.07,Active,9.6053,730,1
12359,7,14,8714.89,1,1,1,8714.89,Active,1.9439,727,1
12360,52,9,4212.89,2,2,1,4212.89,"Low Risk",2.7788,603,1
12361,287,4,511.25,4,3,4,511.25,"High Risk",14.1071,395,1
12362,3,14,5284.58,1,1,1,5284.58,Active,2.6825,735,1
12363,109,2,552.00,3,4,4,552.00,"Medium Risk",6.0455,133,1
12364,7,4,1313.10,1,3,2,1313.10,Active,1.2500,105,1
12365,291,3,320.69,4,3,4,320.69,"High Risk",0.0000,0,1
12366,633,1,500.24,5,5,4,500.24,"High Risk",0.0000,0,1
12367,4,1,168.90,1,5,5,168.90,Active,0.0000,0,1
12368,628,1,917.70,5,5,3,917.70,"High Risk",0.0000,0,1
12369,413,3,1791.15,4,3,2,1791.15,"High Risk",2.4783,228,1
12370,51,7,4320.31,2,2,1,4320.31,"Low Risk",3.0697,617,1
12371,44,5,4067.38,2,2,1,4067.38,"Low Risk",3.6205,601,1
12372,71,3,1298.04,3,3,2,1298.04,"Low Risk",4.4118,225,1
12373,311,3,1127.65,4,3,3,1127.65,"High Risk",7.2400,362,1
12374,25,4,2989.22,2,3,1,2989.22,Active,6.8659,563,1
12375,2,3,455.42,1,3,4,455.42,Active,5.6471,96,1
12376,389,2,503.15,4,4,4,503.15,"High Risk",2.3333,28,1
12377,315,4,3426.32,4,3,1,3426.32,"High Risk",1.8146,274,1
12378,129,2,5416.32,3,4,1,5416.32,"Medium Risk",1.4433,433,1
12379,81,5,1618.27,3,3,2,1618.27,"Low Risk",5.5926,453,1
12380,21,15,7888.00,2,1,1,7888.00,Active,2.2730,641,1
12381,4,6,1803.96,1,2,2,1803.96,Active,1.2778,115,1
12382,682,1,-18.38,5,5,5,-18.38,"High Risk",NULL,0,1
12383,184,6,1839.31,3,2,2,1839.31,"High Risk",1.6970,168,1
12384,28,3,566.16,2,3,4,566.16,Active,3.2069,93,1
12385,379,2,1923.40,4,4,2,1923.40,"High Risk",0.0000,0,1
12386,337,2,660.80,4,4,3,660.80,"High Risk",1.7059,29,1
12387,415,1,143.94,5,5,5,143.94,"High Risk",0.0000,0,1
12388,15,8,3901.11,1,2,1,3901.11,Active,3.9103,567,1
12389,402,3,1433.33,4,3,2,1433.33,"High Risk",5.2708,253,1
12390,79,1,549.84,3,5,4,549.84,"Low Risk",0.0000,0,1
12391,21,7,2747.82,2,2,2,2747.82,Active,2.2413,641,1
12392,591,1,234.75,5,5,5,234.75,"High Risk",0.0000,0,1
12393,72,7,2376.75,3,2,2,2376.75,"Low Risk",3.2072,356,1
12394,63,2,1272.48,3,4,2,1272.48,"Low Risk",5.9231,154,1
12395,15,18,5046.92,1,1,1,5046.92,Active,2.2930,587,1
12396,674,1,931.43,5,5,3,931.43,"High Risk",0.0000,0,1
12397,35,2,2409.90,2,4,2,2409.90,"Low Risk",0.8000,100,1
12398,45,1,1635.66,2,5,2,1635.66,"Low Risk",0.0000,0,1
12399,119,7,1962.30,3,2,2,1962.30,"Medium Risk",4.8165,525,1
12400,414,1,205.25,5,5,5,205.25,"High Risk",0.0000,0,1
12401,303,1,84.30,4,4,5,84.30,"High Risk",0.0000,0,1
12402,323,7,1244.15,4,2,2,1244.15,"High Risk",4.9571,347,1
12403,49,3,1001.36,2,3,3,1001.36,"Low Risk",52.4444,472,1
12404,682,1,63.24,5,5,5,63.24,"High Risk",NULL,0,1
12405,148,1,1710.39,3,5,2,1710.39,"Medium Risk",0.0000,0,1
12406,22,7,6072.21,2,2,1,6072.21,Active,3.9941,675,1
12407,49,5,1708.12,2,2,2,1708.12,"Low Risk",2.8289,215,1
12408,32,14,4279.64,2,1,1,4279.64,"Low Risk",2.7574,466,1
12409,78,13,23090.47,3,1,1,23090.47,"Low Risk",1.7970,487,1
12410,301,4,1001.46,4,3,3,1001.46,"High Risk",4.9024,201,1
12411,409,1,346.90,4,5,4,346.90,"High Risk",0.0000,0,1
12412,74,8,2581.03,3,2,2,2581.03,"Low Risk",3.5769,465,1
12413,66,6,935.50,3,2,3,935.50,"Low Risk",6.4615,336,1
12414,217,8,692.41,4,2,3,692.41,"High Risk",6.8333,246,1
12415,24,33,143269.29,2,1,1,143269.29,Active,0.5086,503,1
12416,656,1,202.56,5,5,5,202.56,"High Risk",0.0000,0,1
12417,3,27,6708.21,1,1,1,6708.21,Active,1.9211,730,1
12418,112,5,2016.95,3,3,2,2016.95,"Medium Risk",5.0784,518,1
12419,385,2,503.01,4,4,4,503.01,"High Risk",1.1667,28,1
12420,63,1,600.39,3,5,3,600.39,"Low Risk",0.0000,0,1
12421,15,8,1092.83,1,2,3,1092.83,Active,7.4242,490,1
