CustomerID,segment,recency_days,total_orders,total_revenue,avg_order_value,is_churned,churn_status
12346,Lost,325,12,77556.46,2281.072353,1,Churned
12347,Champions,2,8,5633.32,22.266087,0,Active
12348,Potential,75,5,2019.40,39.596078,0,Active
12349,Loyal,18,4,4428.69,25.306800,0,Active
12350,Lost,310,1,334.40,19.670588,1,Churned
12351,Lost,375,1,300.93,14.330000,1,Churned
12352,Loyal,36,10,2849.84,27.668350,0,Active
12353,Lost,204,2,406.76,16.948333,1,Churned
12354,Lost,232,1,1079.40,18.610345,1,Churned
12355,Lost,214,2,947.61,27.074571,1,Churned
12356,Champions,22,6,6373.68,44.571189,0,Active
12357,Loyal,33,3,18287.66,61.782635,0,Active
12358,Champions,1,5,3887.07,50.481429,0,Active
12359,Loyal,57,10,8935.94,24.482027,0,Active
12360,Loyal,52,8,4252.89,19.598571,0,Active
12361,Lost,287,4,511.25,17.629310,1,Churned
12362,Champions,3,11,5356.23,20.060787,0,Active
12363,"At Risk",109,2,552.00,24.000000,0,Active
12364,Loyal,7,4,1313.10,15.448235,0,Active
12365,Lost,291,2,641.38,29.153636,1,Churned
12366,Lost,633,1,500.24,166.746667,1,Churned
12367,Potential,4,1,168.90,15.354545,0,Active
12368,Lost,628,1,917.70,50.983333,1,Churned
12369,Lost,413,3,1791.15,19.259677,1,Churned
12370,Loyal,51,7,4320.31,21.387673,0,Active
12371,Loyal,44,5,4067.38,24.355569,0,Active
12372,Potential,71,3,1298.04,24.962308,0,Active
12373,Lost,311,3,1127.65,22.110784,1,Churned
12374,Loyal,25,4,2989.22,36.014699,0,Active
12375,Potential,10,2,457.50,26.911765,0,Active
12376,Lost,389,2,503.15,38.703846,1,Churned
12377,Lost,315,4,3426.32,22.541579,1,Churned
12378,"At Risk",129,2,5416.32,17.994419,1,Churned
12379,Potential,81,4,1620.22,20.002716,0,Active
12380,Champions,21,11,9676.30,34.932491,0,Active
12381,Champions,4,5,1845.31,21.210460,0,Active
12383,Lost,184,5,1850.56,18.692525,1,Churned
12384,Potential,28,2,585.27,21.676667,0,Active
12385,Lost,379,1,1938.40,29.821538,1,Churned
12386,Lost,337,2,660.80,36.711111,1,Churned
12387,Lost,415,1,143.94,15.993333,1,Churned
12388,Champions,15,8,3901.11,26.719932,0,Active
12389,Lost,402,3,1433.33,29.251633,1,Churned
12390,Potential,79,1,549.84,17.182500,0,Active
12391,Champions,21,6,2773.42,9.869822,0,Active
12392,Lost,591,1,234.75,33.535714,1,Churned
12393,Potential,72,6,2399.45,22.424766,0,Active
12394,Potential,63,2,1272.48,47.128889,0,Active
12395,Champions,19,15,5067.27,19.949882,0,Active
12396,Lost,674,1,931.43,14.329692,1,Churned
12397,Potential,35,2,2409.90,19.126190,0,Active
12398,Potential,45,1,1635.66,19.243059,0,Active
12399,"At Risk",119,7,1962.30,17.839091,0,Active
12400,Lost,414,1,205.25,18.659091,1,Churned
12401,Lost,303,1,84.30,16.860000,1,Churned
12402,Lost,323,6,1256.90,17.955714,1,Churned
12403,Potential,49,2,1019.36,113.262222,0,Active
12404,Lost,682,1,63.24,63.240000,1,Churned
12405,"At Risk",148,1,1710.39,31.673889,1,Churned
12406,Champions,22,5,6390.36,38.496145,0,Active
12407,Loyal,49,5,1708.12,22.183377,0,Active
12408,Loyal,32,8,4340.77,27.300440,0,Active
12409,Potential,78,7,23419.29,88.709432,0,Active
12410,Lost,308,3,1013.71,25.342750,1,Churned
12411,Lost,409,1,346.90,15.768182,1,Churned
12412,Potential,74,6,2596.93,20.448268,0,Active
12413,Potential,66,4,999.45,19.597059,0,Active
12414,Lost,217,6,952.41,34.014643,1,Churned
12415,Champions,24,28,144458.37,156.002559,0,Active
12416,Lost,656,1,202.56,18.414545,1,Churned
12417,Champions,3,20,6816.91,18.424081,0,Active
12418,"At Risk",112,4,2021.20,19.815686,0,Active
12419,Lost,385,2,503.01,20.120400,1,Churned
12420,Potential,63,1,600.39,20.703103,0,Active
12421,Champions,15,6,1098.60,16.901538,0,Active
12422,"At Risk",95,17,5231.80,30.417442,0,Active
12423,Champions,0,10,2622.39,15.893273,0,Active
12424,"At Risk",162,4,3340.03,36.304674,1,Churned
12425,Potential,78,2,1741.41,19.136374,0,Active
12426,Lost,194,2,1345.21,17.470260,1,Churned
12427,Loyal,21,3,1129.30,27.543902,0,Active
12428,Champions,25,9,7956.46,27.062789,0,Active
12429,Champions,9,8,7485.91,43.271156,0,Active
12430,Potential,43,1,256.40,23.309091,0,Active
12431,Loyal,35,27,10857.97,26.809802,0,Active
12432,Loyal,42,5,5059.32,46.845556,0,Active
12433,Champions,0,10,20581.26,29.151926,0,Active
12434,Potential,84,3,1103.43,15.763286,0,Active
12435,Potential,79,6,13925.93,124.338661,0,Active
12436,"At Risk",99,1,509.01,31.813125,0,Active
12437,Champions,1,39,12683.40,22.528242,0,Active
12438,Potential,14,2,2906.85,29.661735,0,Active
12439,Lost,682,2,1158.18,16.085833,1,Churned
12440,Lost,462,2,859.20,26.850000,1,Churned
12441,Lost,366,1,347.10,15.777273,1,Churned
12442,Potential,3,1,172.06,14.338333,0,Active
12443,Lost,732,1,485.31,23.110000,1,Churned
12444,Champions,21,5,5005.46,28.440114,0,Active
12445,Potential,22,2,434.98,18.124167,0,Active
12446,Potential,57,1,1002.31,17.584386,0,Active
12447,Lost,243,1,476.49,18.326538,1,Churned
12448,Potential,44,1,449.45,20.429545,0,Active
12449,Champions,22,6,4835.89,24.059154,0,Active
12450,"At Risk",156,5,688.20,18.600000,1,Churned
12451,Champions,10,8,12669.88,24.794286,0,Active
12452,Potential,16,2,430.57,19.571364,0,Active
12453,"At Risk",134,1,707.09,16.443953,1,Churned
12454,Loyal,56,5,16679.78,416.994500,0,Active
12455,Potential,73,10,5879.95,25.902863,0,Active
12456,Loyal,44,3,3181.04,25.448320,0,Active
12457,Potential,66,8,2995.91,35.665595,0,Active
12458,Potential,71,4,1777.49,21.160595,0,Active
12459,Lost,605,1,454.36,19.754783,1,Churned
12460,Lost,456,1,326.65,18.147222,1,Churned
12461,"At Risk",94,2,826.88,23.625143,0,Active
12462,Potential,18,2,1189.59,19.186935,0,Active
12463,Loyal,53,4,1344.78,16.202169,0,Active
12464,Champions,10,8,1212.05,41.794828,0,Active
12465,Potential,17,2,742.19,15.791277,0,Active
12466,Lost,682,1,56.73,56.730000,1,Churned
12467,Lost,423,1,132.80,14.755556,1,Churned
12468,Lost,187,5,3670.74,24.471600,1,Churned
12469,Lost,522,2,3070.54,40.401842,1,Churned
12470,Lost,689,1,211.95,9.215217,1,Churned
12471,Champions,2,79,39963.79,35.148452,0,Active
12472,Loyal,32,19,17880.59,19.627431,0,Active
12473,Champions,29,5,3938.55,23.443750,0,Active
12474,Champions,17,31,12424.45,17.499225,0,Active
12475,Potential,53,2,1149.64,18.846557,0,Active
12476,Champions,15,23,14115.41,27.355446,0,Active
12477,Champions,22,9,20276.37,35.951011,0,Active
12478,Potential,3,1,680.99,18.916389,0,Active
12479,Potential,11,1,527.20,17.006452,0,Active
12480,Champions,28,7,5464.85,22.582025,0,Active
12481,Champions,22,15,12361.39,31.614808,0,Active
12482,Lost,576,29,23691.40,116.134314,1,Churned
12483,Champions,17,19,5120.58,36.838705,0,Active
12484,Loyal,32,12,6370.15,13.410842,0,Active
12485,Lost,529,1,708.10,20.826471,1,Churned
12486,Lost,431,1,1037.28,21.168980,1,Churned
12487,Lost,730,1,285.30,142.650000,1,Churned
12488,Loyal,9,3,1298.66,23.612000,0,Active
12489,Lost,336,1,334.93,22.328667,1,Churned
12490,Champions,5,21,9823.64,21.263290,0,Active
12491,Potential,38,1,460.40,17.707692,0,Active
12492,Potential,63,3,715.21,17.028810,0,Active
12493,"At Risk",165,2,433.74,19.715455,1,Churned
12494,Champions,15,9,1872.87,16.872703,0,Active
12495,Lost,640,1,357.40,21.023529,1,Churned
12496,Lost,620,2,54.09,4.160769,1,Churned
12497,Potential,81,3,6248.50,109.622807,0,Active
12498,Loyal,21,3,403.70,17.552174,0,Active
12499,Lost,560,1,393.72,14.582222,1,Churned
12500,Champions,23,19,5955.21,40.789110,0,Active
12501,Lost,336,1,2169.39,14.559664,1,Churned
12502,"At Risk",95,5,3723.87,25.332449,0,Active
12503,Lost,584,1,1126.00,563.000000,1,Churned
12504,Loyal,18,4,779.05,38.952500,0,Active
12505,Lost,408,1,955.20,22.742857,1,Churned
12506,Lost,232,1,73.50,3.195652,1,Churned
12507,"At Risk",134,4,1844.06,37.633878,1,Churned
12508,Potential,26,2,398.27,5.772029,0,Active
12509,Lost,284,1,176.50,25.214286,1,Churned
12510,"At Risk",142,9,5178.02,35.710483,1,Churned
12511,Lost,428,1,3084.02,16.231684,1,Churned
12512,Potential,66,2,138.03,4.059706,0,Active
12513,"At Risk",112,1,612.29,17.494000,0,Active
12514,Lost,267,2,1597.76,19.020952,1,Churned
12515,Lost,353,1,383.70,23.981250,1,Churned
12516,Potential,77,4,2648.62,35.792162,0,Active
12517,Champions,28,5,2502.84,8.812817,0,Active
12518,Champions,0,5,2056.89,16.587823,0,Active
12519,Potential,63,2,726.54,18.163500,0,Active
12520,Potential,79,5,2634.26,17.330658,0,Active
12521,"At Risk",142,1,599.68,15.781053,1,Churned
12522,Potential,39,2,192.72,16.060000,0,Active
12523,Champions,19,23,4372.15,17.488600,0,Active
12524,Champions,9,17,11126.11,46.358792,0,Active
12525,Lost,498,3,973.73,16.228833,1,Churned
12526,Loyal,0,3,1316.66,18.544507,0,Active
12527,Potential,81,5,735.51,22.984688,0,Active
12528,Champions,9,6,1933.48,21.016087,0,Active
